lga_code,lga_name,2021_incr_det_ms,2021_incr_med_ms,2021_incr_high_ms,2022_incr_det_ms,2022_incr_med_ms,2022_incr_high_ms,2023_incr_det_ms,2023_incr_med_ms,2023_incr_high_ms,2024_incr_det_ms,2024_incr_med_ms,2024_incr_high_ms,2025_incr_det_ms,2025_incr_med_ms,2025_incr_high_ms,2026_incr_det_ms,2026_incr_med_ms,2026_incr_high_ms,2027_incr_det_ms,2027_incr_med_ms,2027_incr_high_ms,2028_incr_det_ms,2028_incr_med_ms,2028_incr_high_ms,2029_incr_det_ms,2029_incr_med_ms,2029_incr_high_ms,2030_incr_det_ms,2030_incr_med_ms,2030_incr_high_ms,2031_incr_det_ms,2031_incr_med_ms,2031_incr_high_ms,2032_incr_det_ms,2032_incr_med_ms,2032_incr_high_ms,2033_incr_det_ms,2033_incr_med_ms,2033_incr_high_ms,2034_incr_det_ms,2034_incr_med_ms,2034_incr_high_ms,2035_incr_det_ms,2035_incr_med_ms,2035_incr_high_ms
12380,Cumberland (A),204.0,244.0,16.0,204.0,244.0,16.0,204.0,244.0,16.0,204.0,244.0,16.0,204.0,244.0,16.0,282.0,338.0,22.0,282.0,338.0,22.0,282.0,338.0,22.0,282.0,338.0,22.0,282.0,338.0,22.0,237.0,284.0,19.0,237.0,284.0,19.0,237.0,284.0,19.0,237.0,284.0,19.0,237.0,284.0,19.0
12390,Dubbo Regional (A),144.0,28.0,0.0,144.0,28.0,0.0,144.0,28.0,0.0,144.0,28.0,0.0,144.0,28.0,0.0,171.0,34.0,0.0,171.0,34.0,0.0,171.0,34.0,0.0,171.0,34.0,0.0,171.0,34.0,0.0,172.0,34.0,0.0,172.0,34.0,0.0,172.0,34.0,0.0,172.0,34.0,0.0,172.0,34.0,0.0
12700,Dungog (A),86.0,0.0,0.0,86.0,0.0,0.0,86.0,0.0,0.0,86.0,0.0,0.0,86.0,0.0,0.0,91.0,0.0,0.0,91.0,0.0,0.0,91.0,0.0,0.0,91.0,0.0,0.0,91.0,0.0,0.0,92.0,0.0,0.0,92.0,0.0,0.0,92.0,0.0,0.0,92.0,0.0,0.0,92.0,0.0,0.0
12730,Edward River (A),15.0,2.0,0.0,15.0,2.0,0.0,15.0,2.0,0.0,15.0,2.0,0.0,15.0,2.0,0.0,15.0,2.0,0.0,15.0,2.0,0.0,15.0,2.0,0.0,15.0,2.0,0.0,15.0,2.0,0.0,10.0,2.0,0.0,10.0,2.0,0.0,10.0,2.0,0.0,10.0,2.0,0.0,10.0,2.0,0.0
12750,Eurobodalla (A),231.0,39.0,0.0,231.0,39.0,0.0,231.0,39.0,0.0,231.0,39.0,0.0,231.0,39.0,0.0,212.0,36.0,0.0,212.0,36.0,0.0,212.0,36.0,0.0,212.0,36.0,0.0,212.0,36.0,0.0,180.0,31.0,0.0,180.0,31.0,0.0,180.0,31.0,0.0,180.0,31.0,0.0,180.0,31.0,0.0
12850,Fairfield (C),228.0,146.0,5.0,228.0,146.0,5.0,228.0,146.0,5.0,228.0,146.0,5.0,228.0,146.0,5.0,288.0,184.0,6.0,288.0,184.0,6.0,288.0,184.0,6.0,288.0,184.0,6.0,288.0,184.0,6.0,331.0,212.0,7.0,331.0,212.0,7.0,331.0,212.0,7.0,331.0,212.0,7.0,331.0,212.0,7.0
12870,Federation (A),46.0,1.0,0.0,46.0,1.0,0.0,46.0,1.0,0.0,46.0,1.0,0.0,46.0,1.0,0.0,44.0,1.0,0.0,44.0,1.0,0.0,44.0,1.0,0.0,44.0,1.0,0.0,44.0,1.0,0.0,29.0,1.0,0.0,29.0,1.0,0.0,29.0,1.0,0.0,29.0,1.0,0.0,29.0,1.0,0.0
12900,Forbes (A),40.0,10.0,0.0,40.0,10.0,0.0,40.0,10.0,0.0,40.0,10.0,0.0,40.0,10.0,0.0,58.0,14.0,0.0,58.0,14.0,0.0,58.0,14.0,0.0,58.0,14.0,0.0,58.0,14.0,0.0,62.0,15.0,0.0,62.0,15.0,0.0,62.0,15.0,0.0,62.0,15.0,0.0,62.0,15.0,0.0
12930,Georges River (A),39.0,36.0,3.0,39.0,36.0,3.0,39.0,36.0,3.0,39.0,36.0,3.0,39.0,36.0,3.0,137.0,127.0,9.0,137.0,127.0,9.0,137.0,127.0,9.0,137.0,127.0,9.0,137.0,127.0,9.0,170.0,156.0,11.0,170.0,156.0,11.0,170.0,156.0,11.0,170.0,156.0,11.0,170.0,156.0,11.0
12950,Gilgandra (A),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13010,Glen Innes Severn (A),20.0,3.0,0.0,20.0,3.0,0.0,20.0,3.0,0.0,20.0,3.0,0.0,20.0,3.0,0.0,16.0,2.0,0.0,16.0,2.0,0.0,16.0,2.0,0.0,16.0,2.0,0.0,16.0,2.0,0.0,10.0,2.0,0.0,10.0,2.0,0.0,10.0,2.0,0.0,10.0,2.0,0.0,10.0,2.0,0.0
13310,Goulburn Mulwaree (A),117.0,52.0,0.0,117.0,52.0,0.0,117.0,52.0,0.0,117.0,52.0,0.0,117.0,52.0,0.0,130.0,59.0,0.0,130.0,59.0,0.0,130.0,59.0,0.0,130.0,59.0,0.0,130.0,59.0,0.0,128.0,58.0,0.0,128.0,58.0,0.0,128.0,58.0,0.0,128.0,58.0,0.0,128.0,58.0,0.0
13340,Greater Hume Shire (A),42.0,2.0,0.0,42.0,2.0,0.0,42.0,2.0,0.0,42.0,2.0,0.0,42.0,2.0,0.0,50.0,2.0,0.0,50.0,2.0,0.0,50.0,2.0,0.0,50.0,2.0,0.0,50.0,2.0,0.0,48.0,2.0,0.0,48.0,2.0,0.0,48.0,2.0,0.0,48.0,2.0,0.0,48.0,2.0,0.0
13450,Griffith (C),48.0,17.0,0.0,48.0,17.0,0.0,48.0,17.0,0.0,48.0,17.0,0.0,48.0,17.0,0.0,79.0,28.0,0.0,79.0,28.0,0.0,79.0,28.0,0.0,79.0,28.0,0.0,79.0,28.0,0.0,82.0,30.0,0.0,82.0,30.0,0.0,82.0,30.0,0.0,82.0,30.0,0.0,82.0,30.0,0.0
13550,Gunnedah (A),11.0,4.0,0.0,11.0,4.0,0.0,11.0,4.0,0.0,11.0,4.0,0.0,11.0,4.0,0.0,18.0,8.0,0.0,18.0,8.0,0.0,18.0,8.0,0.0,18.0,8.0,0.0,18.0,8.0,0.0,19.0,8.0,0.0,19.0,8.0,0.0,19.0,8.0,0.0,19.0,8.0,0.0,19.0,8.0,0.0
13660,Gwydir (A),9.0,3.0,0.0,9.0,3.0,0.0,9.0,3.0,0.0,9.0,3.0,0.0,9.0,3.0,0.0,6.0,2.0,0.0,6.0,2.0,0.0,6.0,2.0,0.0,6.0,2.0,0.0,6.0,2.0,0.0,4.0,2.0,0.0,4.0,2.0,0.0,4.0,2.0,0.0,4.0,2.0,0.0,4.0,2.0,0.0
