state_code,state_name,lga_code,lga_name,SEQ,2021_dw,2026_dw,2031_dw,2036_dw,2041_dw,2046_dw,Unnamed: 6,2021_incr,2022_incr,2023_incr,2024_incr,2025_incr,2026_incr,2027_incr,2028_incr,2029_incr,2030_incr,2031_incr,2032_incr,2033_incr,2034_incr,2035_incr
3,Queensland,37300,Weipa,False,1670.0,1689.0,1695.0,1705.0,1706.0,1702.0,,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
3,Queensland,37310,Western Downs,False,15566.0,16076.0,16605.0,16909.0,17030.0,17031.0,,102.0,102.0,102.0,102.0,102.0,106.0,106.0,106.0,106.0,106.0,61.0,61.0,61.0,61.0,61.0
3,Queensland,37340,Whitsunday,False,15919.0,17181.0,18438.0,19684.0,20901.0,22117.0,,252.0,252.0,252.0,252.0,252.0,251.0,251.0,251.0,251.0,251.0,249.0,249.0,249.0,249.0,249.0
3,Queensland,37400,Winton,False,637.0,646.0,637.0,630.0,615.0,597.0,,2.0,2.0,2.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,Queensland,37550,Woorabinda,False,304.0,322.0,330.0,338.0,346.0,354.0,,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
3,Queensland,37570,Wujal Wujal,False,89.0,103.0,106.0,108.0,109.0,109.0,,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3,Queensland,37600,Yarrabah,False,454.0,503.0,553.0,615.0,685.0,762.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0
1,New South Wales,10050,Albury (C),,26364.0,28716.0,31646.0,34716.0,37640.0,,,470.0,470.0,470.0,470.0,470.0,586.0,586.0,586.0,586.0,586.0,614.0,614.0,614.0,614.0,614.0
1,New South Wales,10180,Armidale Regional (A),,13339.0,13328.0,13577.0,13918.0,14261.0,,,-2.0,-2.0,-2.0,-2.0,-2.0,50.0,50.0,50.0,50.0,50.0,68.0,68.0,68.0,68.0,68.0
1,New South Wales,10250,Ballina (A),,21225.0,22669.0,24146.0,25468.0,26577.0,,,289.0,289.0,289.0,289.0,289.0,295.0,295.0,295.0,295.0,295.0,264.0,264.0,264.0,264.0,264.0
1,New South Wales,10300,Balranald (A),,1115.0,1048.0,993.0,944.0,894.0,,,-13.0,-13.0,-13.0,-13.0,-13.0,-11.0,-11.0,-11.0,-11.0,-11.0,-10.0,-10.0,-10.0,-10.0,-10.0
1,New South Wales,10470,Bathurst Regional (A),,19380.0,20716.0,22265.0,23886.0,25496.0,,,267.0,267.0,267.0,267.0,267.0,310.0,310.0,310.0,310.0,310.0,324.0,324.0,324.0,324.0,324.0
