lga_code,lga_name,SEQ,det,med,high
50630,Boddington,,0.75,0.75,0.029
50770,Boyup Brook,,0.75,0.75,0.029
50840,Bridgetown-Greenbushes,,0.75,0.75,0.029
50910,Brookton,,0.75,0.75,0.029
50980,Broome,,0.75,0.75,0.029
51080,Broomehill-Tambellup,,0.75,0.75,0.029
51120,Bruce Rock,,0.75,0.75,0.029
51190,Bunbury,,0.75,0.75,0.029
51260,Busselton,,0.75,0.75,0.029
51310,Cambridge,,0.75,0.75,0.029
51330,Canning,,0.75,0.75,0.029
51400,Capel,,0.75,0.75,0.029
51470,Carnamah,,0.75,0.75,0.029
51540,Carnarvon,,0.75,0.75,0.029
51610,Chapman Valley,,0.75,0.75,0.029
51680,Chittering,,0.75,0.75,0.029
51710,Christmas Island,,0.75,0.75,0.029
51750,Claremont,,0.75,0.75,0.029
51820,Cockburn,,0.75,0.75,0.029
51860,Cocos Islands,,0.75,0.75,0.029
51890,Collie,,0.75,0.75,0.029
51960,Coolgardie,,0.75,0.75,0.029
52030,Coorow,,0.75,0.75,0.029
52100,Corrigin,,0.75,0.75,0.029
52170,Cottesloe ,,0.75,0.75,0.029
52240,Cranbrook,,0.75,0.75,0.029
52310,Cuballing,,0.75,0.75,0.029
52380,Cue,,0.75,0.75,0.029
52450,Cunderdin,,0.75,0.75,0.029
52520,Dalwallinu,,0.75,0.75,0.029
52590,Dandaragan,,0.75,0.75,0.029
52660,Dardanup,,0.75,0.75,0.029
52730,Denmark,,0.75,0.75,0.029
52800,Derby-West Kimberley,,0.75,0.75,0.029
52870,Donnybrook-Balingup,,0.75,0.75,0.029
52940,Dowerin,,0.75,0.75,0.029
53010,Dumbleyung,,0.75,0.75,0.029
53080,Dundas,,0.75,0.75,0.029
53150,East Fremantle,,0.75,0.75,0.029
53220,East Pilbara,,0.75,0.75,0.029
53290,Esperance,,0.75,0.75,0.029
53360,Exmouth,,0.75,0.75,0.029
53430,Fremantle,,0.75,0.75,0.029
53570,Gingin,,0.75,0.75,0.029
53640,Gnowangerup,,0.75,0.75,0.029
53710,Goomalling,,0.75,0.75,0.029
53780,Gosnells,,0.75,0.75,0.029
53800,Greater Geraldton,,0.75,0.75,0.029
53920,Halls Creek,,0.75,0.75,0.029
53990,Harvey,,0.75,0.75,0.029
54060,Irwin,,0.75,0.75,0.029
54130,Jerramungup,,0.75,0.75,0.029
54170,Joondalup,,0.75,0.75,0.029
54200,Kalamunda,,0.75,0.75,0.029
54280,Kalgoorlie-Boulder,,0.75,0.75,0.029
54310,Karratha,,0.75,0.75,0.029
54340,Katanning,,0.75,0.75,0.029
54410,Kellerberrin,,0.75,0.75,0.029
